ledger,page,row,date,journal,particulars,cheque,debit,credit,balance,balance_side,day_ordinal,notes
CH_REV2,1,1,01/06/2026,,BALANCE C/FWD,,1060.05,,1060.05,DR,1,opening balance printed in DEBIT column
CH_REV2,1,2,05/06/2026,C63740,INV/NO : 63740/YEEBEE,,1590.00,,2650.05,DR,1,
CH_REV2,1,3,06/06/2026,C015333,INV/NO : 015333/ROSE,,7.00,,2657.05,DR,1,leading zero preserved
CH_REV2,1,4,06/06/2026,C015337,INV/NO : 015337/ROSE,,22.90,,2679.95,DR,2,
CH_REV2,1,5,06/06/2026,C015346,INV/NO : 015346/ROSE,,22.90,,2702.85,DR,3,
CH_REV2,1,6,06/06/2026,C34908,INV/NO : 34908/TEO,,530.00,,3232.85,DR,4,
CH_REV2,1,7,10/06/2026,RV023/06,INV/NO : 34869/34891/TEO,,,1060.00,2172.85,DR,1,bank-in of two invoices one customer; leaves 0.05 pre-June residual in balance
CH_REV2,1,8,13/06/2026,C34923,INV/NO : 34923/TEO,,795.00,,2967.85,DR,1,
CH_REV2,1,9,15/06/2026,C63825,INV/NO : 63825/CITY,,1710.00,,4677.85,DR,1,date partially obscured by hole punch; day inferred 15 from sort order 13->18 (UNCERTAIN day only)
CH_REV2,1,10,18/06/2026,C63468,INV/NO : 63468/KELUARGA,,870.00,,5547.85,DR,1,
CH_REV2,1,11,18/06/2026,C63771,INV/NO : 63771/PUBLIC,,212.40,,5760.25,DR,2,
CH_REV2,1,12,20/06/2026,C34945,INV/NO : 34945/TEO,,795.00,,6555.25,DR,1,
CH_REV2,1,13,24/06/2026,RV049/06,INV/NO : 34923/TEO,,,795.00,5760.25,DR,1,single-invoice bank-in
CH_REV2,1,14,24/06/2026,RV050/06,INV/NO : 63825/CITY,,,1710.00,4050.25,DR,2,
CH_REV2,1,15,24/06/2026,RV051/06,INV/NO : 34945/TEO,,,795.00,3255.25,DR,3,
CH_REV2,1,16,24/06/2026,RV052/06,INV/NO :34908/TEO & 015333/015337/015346 /ROSE,,,582.80,2672.45,DR,4,mixed-customer RV: 530.00 TEO + 7.00+22.90+22.90 ROSE; particulars wraps to second printed line "/ROSE"
CH_REV2,1,17,24/06/2026,RV053/06,INV/NO : 63740/YEEBEE,,,1590.00,1082.45,DR,5,
CH_REV2,1,18,26/06/2026,C34993,INV/NO : 34993/TEO,,530.00,,1612.45,DR,1,
CH_REV2,1,19,29/06/2026,C015373,INV/NO : 015373/LEE-HL,,117.50,,1729.95,DR,1,leading zero preserved
CH_REV2,1,20,30/06/2026,RV073/06,INV/NO : 34993/TEO,,,530.00,1199.95,DR,1,
CH_REV2,1,21,30/06/2026,RV074/06,INV/NO :63468/KELUARGA & 63771/PUBLIC,,,1082.40,117.55,DR,2,mixed-customer RV: 870.00 KELUARGA + 212.40 PUBLIC; closing 117.55 DR (checkmark on page)
